Kennzeichen;Identnummer;Bankleitzahl;Institutsart;Sektor;Firmenbuchnummer;Bankenname;Straße;PLZ;Ort;Politischer Bezirk;Postadresse / Straße;Postadresse / PLZ;Postadresse / Ort;Postfach;Bundesland;Telefon;Fax;E-Mail;SWIFT-Code;Homepage;Gruendungsdatum;ZweigniederlassungVon
Hauptanstalt;53104;19960;KI;Aktienbanken;98571h;Adria Bank AG;Gonzagagasse 16;1010;Wien;Wien;;1011;Wien;645;Wien;01/51409;01/5140943;headoffice@adriabank.at;ABAGATWW;www.adriabank.at;19800701;
Hauptanstalt;444529;76021;KI;Sonderbanken;92415f;"AirPlus"" Air Travel Card Vertriebsgesellschaft m.b.H.""";Rainergasse 1;1040;Wien;Wien;;1041;Wien;203;Wien;01/93135;01/9313572250;management@airplus.at;AATAATW1;www.airplus.at;19830518;
Hauptanstalt;244651;43510;KI;Bausparkassen;93724f;Allgemeine Bausparkasse reg.Gen.m.b.H.;Liechtensteinstraße 111-115;1090;Wien;Wien;;1091;Wien;34;Wien;01/31380;01/31380209;;ABVRATW1;;19290516;
Zweigstelle;364703;43510;;Bausparkassen;;Allgemeine Bausparkasse reg.Gen.m.b.H. Gest.Graz;Grabenstraße 231;8045;Graz-Andritz;Graz;;;;;Steiermark;0316/677701;0316/677703;;;;;244651
Zweigstelle;364690;43510;;Bausparkassen;;Allgemeine Bausparkasse reg.Gen.m.b.H. Gest.Innsbruck;Andechsstraße 52a;6020;Innsbruck;Innsbruck;;;;;Tirol;0512/33660;0512/365237;;;;;244651
Zweigstelle;364673;43510;;Bausparkassen;;Allgemeine Bausparkasse reg.Gen.m.b.H. Gest.Linz;Ziegeleistraße 74;4020;Linz/Donau;Linz;;;;;Oberösterreich;0732/663228;0732/600931;;;;;244651
Hauptanstalt;1474421;20320;KI;Sparkassen;78633m;Allgemeine Sparkasse Oberösterreich BankAG;Promenade 11-13;4020;Linz/Donau;Linz;;4021;Linz/Donau;92;Oberösterreich;050100/40000;050100/45801;ebusiness@sparkasse-ooe.at;ASPKAT2LXXX;;19900903;
Zweigstelle;340839;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale AKH;Krankenhausstraße 9;4020;Linz;Linz;;4021;Linz;92;Oberösterreich;050100/40034;050100/940034;;;;;1474421
Zweigstelle;341010;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Altheim;Stadtplatz 12;4950;Altheim;Braunau am Inn;;;;;Oberösterreich;050100/40151;050100/940151;;;;;1474421
Zweigstelle;340049;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Altmünster;Ebenzweierstraße 10;4813;Altmünster;Gmunden;;;;;Oberösterreich;050100/40192;050100/940192;;;;;1474421
Zweigstelle;341606;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Ampflwang;Hausruckstraße 12;4843;Ampflwang/Hausruck;Vöcklabruck;;;;;Oberösterreich;050100/40147;050100/940147;;;;;1474421
Zweigstelle;341932;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Andorf;Rathausstraße 1;4770;Andorf;Schärding;;;;;Oberösterreich;050100/40131;050100/940131;;;;;1474421
Zweigstelle;341517;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Ansfelden;Ansfeldner Straße 1;4052;Ansfelden;Linz-Land;;;;;Oberösterreich;050100/40172;050100/940172;;;;;1474421
